Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Coongie Lakes,SA,1,19800,751,0.037929,-27.3333,140,8.37E-26,9.2231,0.18758,0.025572,1.00E+31,1.00E+31,1.364229,0.20304,419.9492,0.356448
Big Swamp,SA,3,2,18,9,-34.65,135.7,0.000378,93.6216,0.370491,0.38024,1.00E+31,1.00E+31,1.466168,0.115128,304.6796,0.578866
Lake Hamilton,SA,4,20,22,1.1,-34.0333,135.3,6.53E-05,13.0528,0.375424,1.55163,1.00E+31,1.00E+31,1.585181,0.146043,403.1053,0.534512
Lake Newland,SA,5,84.48,35,0.414299,-33.4,134.8667,1.99E-05,24.2459,0.310847,0.13806,1.00E+31,1.00E+31,1.329412,0.180435,593.8183,0.384516
Tod River Wetland ,SA,6,212.4,639,3.008475,-34.45,135.8667,0.000133,143.605,0.386939,0.665083,1.00E+31,1.00E+31,1.451134,0.157865,497.1394,0.514844
Birchmore Lagoon,SA,7,1.5,23,15.33333,-35.8,137.4833,8.30E-11,57.7447,0.599189,0,1.00E+31,1.00E+31,1.528855,0.119897,352.9036,0.542266
Flinders Chase River Systems,SA,9,404.5,831,2.054388,-35.9497,136.7372,0.000103,96.1306,0.642351,2.8261,1.00E+31,1.00E+31,0.849321,0.090515,89.38818,0.341387
Lake Ada,SA,10,9.94,170,17.10262,-35.9333,137.3333,0.000748,18.878,0.31336,0.623026,1.00E+31,1.00E+31,1.062788,0.075375,196.9643,0.379827
Murray Lagoon,SA,11,22,417,18.95455,-35.9167,137.4,0.000748,19.3309,0.31336,0.623026,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tookayerta & Finniss Catchments,SA,12,3,199,66.33333,-35.3833,138.7333,4.75E-06,79.999,0.649981,0.163392,1.00E+31,1.00E+31,1.843043,0.200877,491.333,0.768451
Waidrowski Lagoon,SA,13,5.3,83,15.66038,-35.8333,137.6167,0.00051,34.2355,0.341763,1.78878,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
White Lagoon Wetland,SA,14,7.5,13,1.733333,-35.8333,137.5167,0.000686,34.0167,0.288712,3.65522,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Banrock Swamp Wetland,SA,15,12.2,104,8.52459,-34.1833,140.3333,-5.64E-06,31.3966,0.445477,725.122,749.59,0.05964,1.552347,0.211727,669.4194,0.525844
Gurra Lakes,SA,16,6.6,59,8.939394,-34.2833,140.6333,-9.03E-06,12.6003,0.557348,726.611,312.604,0.071254,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Irwin flat,SA,17,0.5,11,22,-34.2333,139.65,6.44E-07,24.53,0.565892,724.07,108.048,0.019064,1.66408,0.200367,679.4663,0.53986
Loch Luna Wetland,SA,18,19.5,21,1.076923,-34.2,140.3667,-5.64E-06,10.9343,0.445477,725.122,749.59,0.05964,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Loveday Swamps,SA,19,4.79,62,12.94363,-34.2833,140.4,-1.30E-05,16.2594,0.569247,725.508,1108.68,0.052832,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Murray Swamps,SA,20,1.55,153,98.70968,-35.1,139.3,2.07E-05,22.0993,0.605062,718.106,213,0.555782,2.187586,0.179,448.9053,0.7004
Marne River Mouth,SA,21,0.4,13,32.5,-34.7,139.5667,7.72E-06,42.1486,0.553614,721.041,1435.01,0.075775,1.910164,0.158944,481.19,0.618648
Noora Evaporation Lakes,SA,22,5,18,3.6,-34.3833,140.8667,9.83E-08,8.16656,0.230797,0.165725,1.00E+31,1.00E+31,1.557336,0.205106,633.9156,0.507541
Pike-Mundic Wetland,SA,23,67,67,1,-34.2333,140.7833,3.44E-06,13.2042,0.262272,0.205199,1.00E+31,1.00E+31,2.121436,0.316754,510.348,0.881274
Riverland Wetland,SA,24,0.3064,740,2415.144,-34.0333,140.8333,2.22E-06,6.93317,0.549412,729.656,1.00E+31,1.00E+31,1.288657,0.22818,630.2686,0.475939
Spectacle Lakes,SA,25,4.27,100,23.4192,-34.3667,140.4333,2.22E-07,17.2504,0.577885,726.022,673.997,0.070503,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Swan Reach Wetland,SA,26,2.5,69,27.6,-34.5333,139.6,9.62E-07,27.5672,0.528087,721.999,171.766,0.020437,2.070308,0.204437,564.0636,0.715914
Butchers & Salt Lakes,SA,27,0.4,15,37.5,-36.8833,139.8,1.00E+31,1.10033,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Deadmans Swamp,SA,28,5.45,316,57.98165,-37.1667,140.85,8.28E-06,15.5323,0.638725,0.052214,1.00E+31,1.00E+31,1.317075,0.161036,378.4123,0.604341
Ewens Ponds,SA,29,0.005,31,6200,-38.0167,140.8167,8.13E-08,4.65202,0.725093,1.32E-05,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Honans Scrub,SA,30,8.42,401,47.6247,-37.7333,140.6333,0.000448,21.7893,0.594377,0.356524,1.00E+31,1.00E+31,1.166387,0.111807,224.4524,0.595752
Lake Frome & Mullins Swamp,SA,31,32.16,106,3.29602,-37.5667,140.1833,0.000156,7.47815,0.667806,0.118709,1.00E+31,1.00E+31,1.406494,0.156392,442.8401,0.506113
Marshes Swamp,SA,32,6.65,372,55.93985,-37.6,140.5333,0.001068,34.3925,0.3635,0.850794,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Naen Naen Swamp & Gum Lagoon,SA,33,3.35,26,7.761194,-36.2667,140.0333,8.43E-05,11.3356,0.454056,0.055262,1.00E+31,1.00E+31,1.693074,0.16373,447.2331,0.557516
Piccaninnie Ponds,SA,34,3,261,87,-38.05,140.95,0.000726,7.05699,0.443558,0.630166,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Poocher & Mundulla Swamps,SA,35,3,65,21.66667,-36.35,140.6833,8.25E-06,7.37581,0.456173,0.00331,1.00E+31,1.00E+31,1.588155,0.149461,359.529,0.517003
South East Coastal Salt Lakes,SA,36,1374.44,268,0.194989,-37.3333,139.9167,0.000837,10.9962,0.614235,4.06862,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
"The Coorong, Lake Alexandrina & Lake Albert",SA,37,1405,1115,0.793594,-35.6667,139.0833,1.00E+31,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.540756,0.108009,269.7533,0.517053
Watervalley Wetlands,SA,38,56.6,174,3.074205,-36.4667,140.1833,0.000282,11.4042,0.36612,0.248582,1.00E+31,1.00E+31,1.272201,0.1478,433.9321,0.49633
Inland Saline Lakes,SA,39,8290,386,0.046562,-31,138,1.56E-07,2.898695,0.186796,0.206049,1.00E+31,1.00E+31,1.38708,0.2102,711.5046,0.419256
Lake Eyre,SA,40,9690,273,0.028173,-28.4667,138.6167,3.19E-08,21.92535,0.15311,0.2432,1.00E+31,1.00E+31,1.32325,0.213154,463.0254,0.370727
Dalhousie Springs,SA,41,190,60,0.315789,-26.1833,135.4,0,67.4535,0.185732,0,1.00E+31,1.00E+31,1.324341,0.215513,571.6799,0.395844
Daly River Middle Reaches,NT,43,16.5,19,1.151515,-13.7667,130.7,0.000796,17.2033,1.07162,146.2431,92.52475,0.000183,1.167135,0.156455,180.1397,0.260952
Karinga Creek Palaeodrainage System,NT,44,300,29,0.096667,-25.2167,132,-4.66E-09,13.29896,0.26218,0.247711,1.00E+31,1.00E+31,1.26052,0.189812,528.669,0.361996
Lake Amadeus,NT,45,1037,13,0.012536,-24.4667,130.4833,4.38E-06,18.54515,0.29146,0.024445,1.00E+31,1.00E+31,1.270201,0.213095,434.6922,0.385234
Borroloola Bluebush Swamps,NT,46,0.9,2,2.222222,-16.05,136.275,0.000375,17.159,0.76968,36.4514,116.836,0.004403,1.050785,0.14084,151.85,0.249383
Corella Lake,NT,47,150,20,0.133333,-18.6306,135.5972,-1.36E-06,0.929704,0.485574,0.024323,131.485,0.019506,1.258595,0.147186,375.98,0.267237
Eva Downs Swamp,NT,48,170,35,0.205882,-18.1,134.7667,1.81E-05,0.601142,0.517364,0.033984,95.3278,0.003986,1.275096,0.155932,383.7503,0.272332
Lake de Burgh,NT,49,350,37,0.105714,-18.9,135.55,7.26E-06,0.667228,0.404609,0.191015,1.00E+31,1.00E+31,1.313238,0.169973,434.29,0.337256
Lake Sylvester,NT,50,410,66,0.160976,-18.8333,135.6667,-1.18E-06,1.13595,0.497973,2.81972,132.32,0.007135,1.32939,0.169796,491.5197,0.343006
Lake Woods,NT,51,50.9,97,1.905697,-17.5833,133.4167,1.11E-05,17.09165,0.561977,0.018831,1.00E+31,1.00E+31,1.271383,0.153397,360.1932,0.271829
Tarrabool Lake,NT,52,2200,46,0.020909,-18.4167,134.9167,1.11E-05,0.556741,0.523041,0.135196,128.391,0.002569,1.299958,0.159297,389.0182,0.321884
Birrindudu Waterhole,NT,53,190,30,0.157895,-18.4639,129.6,1.90E-05,21.97873,0.678981,2.28285,137.9435,0.000707,1.2737,0.150774,356.935,0.281204
Nongra Lake,NT,54,60,26,0.433333,-18.1972,129.75,2.10E-05,43.7702,0.671454,0.315091,132.463,9.84E-05,1.303226,0.169688,468.5547,0.279056
Kakadu National Park,NT,55,13759.4,1409,0.102403,-12.5,132.5,0.001041,4.44356,1.21411,0.922588,80.2649,0.00328,1.038797,0.193913,114.4464,0.256612
Katherine River Gorge,NT,56,1.5,8,5.333333,-14.3167,132.45,0.000886,37.7513,0.97241,68.8684,103.653,8.18E-05,1.202602,0.161019,247.0033,0.256544
Lake Surprise (Yinapaka),NT,57,8,53,6.625,-20.2,131.75,1.35E-05,7.02025,0.463002,10.2692,1.00E+31,1.00E+31,1.28679,0.18357,391.1868,0.334425
