Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Maries dam lake,GR115THA001,0.0112,Inland,5,446.4285714,40.70018,24.64424,,,,,
Moschopoulo reservoir,GR222KER001,0.0293,Inland,5,170.6484642,39.37325,20.10617,,,,,
Anemomylos marsh,GR222KER020,0.0171,Inland,5,292.3976608,39.61898,19.82912,,,,,
Kerkyra golf ponds (Ropa),GR222KER021,0.0402,Inland,12,298.5074627,39.61979,19.80407,,,,,
Skoteini pond,GR222KER022,0.0442,Inland,12,271.4932127,39.64456,19.82846,,,,,
Mpertzanos pond,GR222KER023,0.0616,Inland,8,129.8701299,39.64875,19.81145,,,,,
Gavrolimni,GR222KER027,0.0519,Inland,10,192.6782274,39.65826,19.80113,,,,,
Gaidarana marsh,GR222KER028,0.2329,Inland,4,17.17475311,39.66744,19.78758,,,,,
Kounoupina pond,GR222KER029,0.0194,Inland,6,309.2783505,39.68358,19.76376,,,,,
Makris pond,GR222KER033,0.0075,Inland,1,133.3333333,39.67237,19.78938,,,,,
Boutsouli pond,GR222KER043,0.0325,Inland,2,61.53846154,39.61079,19.8432,,,,,
Martis pond,GR222KER045,0.092,Inland,4,43.47826087,39.61528,19.8343,,,,,
Katapinos plateau,GR222KER048,0.0374,Inland,5,133.6898396,39.71802,19.8287,,,,,
CHYTA pond,GR222KER049,0.0095,Inland,4,421.0526316,39.65296,19.8111,,,,,
Kloudatiki pond,GR222KER050,0.018,Inland,7,388.8888889,39.64326,19.82004,,,,,
Fontana marsh,GR222KER051,0.1124,Inland,2,17.79359431,39.66534,19.7793,,,,,
Koritoi marsh,GR222KER052,0.0206,Inland,3,145.631068,39.6591,19.78635,,,,,
Syvilatika pond,GR222KER053,0.0151,Inland,2,132.4503311,39.67607,19.78559,,,,,
Temploni temporary pond,GR222KER054,0.0445,Inland,7,157.3033708,39.64751,19.80511,,,,,
Mpeleniotis pond,GR222KER056,0.0109,Inland,6,550.4587156,39.6052,19.83297,,,,,
Angalaki cave,GR223KFL0030,0.008,Inland,9,1125,38.23547,20.61735,,,,,
Melissani cave,GR223KFL0035,0.01,Inland,1,100,38.25695,20.62371,,,,,
Avythos lake (Megali Akoli),GR223KFL0037,0.0032,Inland,10,3125,38.17165,20.7109,,,,,
Zervati cave,GR223KFL0038,0.0045,Inland,10,2222.222222,38.25238,20.62867,,,,,
Akoli pond,GR223KFL0039,0.0025,Inland,27,10800,38.19939,20.67559,,,,,
Agia Eirini reservoir 2,GR223KFL007,0.0632,Inland,1,15.82278481,38.13408,20.75559,,,,,
Agia Eirini reservoir 1,GR223KFL008,0.0617,Inland,6,97.24473258,38.13489,20.75089,,,,,
Karya reservoir,GR224LEF005,0.0552,Inland,4,72.46376812,38.76139,20.67679,,,,,
Komilios valley marsh,GR224LEF007,0.0125,Inland,2,160,38.70221,20.5883,,,,,
Marantochori lake,GR224LEF011,0.0097,Inland,9,927.8350515,38.64329,20.64004,,,,,
Psathi artificial pond,GR242EUB002,0.0092,Inland,5,543.4782609,38.0188,24.39597,,,,,
Dystos lake,GR242EUB004,7.2552,Inland,10,1.378321755,38.36399,24.14172,,,,,
Agdines pond 1,GR242EUB0093,0.012,Inland,6,500,38.96358,23.26265,,,,,
Agdines pond 4,GR242EUB0096,0.0046,Inland,5,1086.956522,38.95496,23.31768,,,,,
Troupi-Kakavos mining pool 1,GR242EUB011,0.0241,Inland,2,82.98755187,38.7517,23.39711,,,,,
Troupi-Kakavos mining pool 2,GR242EUB015,0.0312,Inland,3,96.15384615,38.72474,23.42871,,,,,
Troupi-Kakavos mining pool 3,GR242EUB017,0.0419,Inland,3,71.59904535,38.74804,23.3966,,,,,
Paraskevorema mining pool 1,GR242EUB020,0.1537,Inland,5,32.53090436,38.77088,23.48263,,,,,
Geroplatanos mining pool,GR242EUB021,0.0349,Inland,6,171.9197708,38.75978,23.48249,,,,,
Troupi-Kakavos mining pool 4,GR242EUB023,0.1615,Inland,8,49.53560372,38.75193,23.4124,,,,,
Aliveri mining pool,GR242EUB026,0.0562,Inland,4,71.17437722,38.44044,24.04122,,,,,
Aliveri small mining pool,GR242EUB027,0.0027,Inland,2,740.7407407,38.43936,24.03759,,,,,
Fylla artificial pond,GR242EUB029,0.1008,Inland,3,29.76190476,38.43732,23.67908,,,,,
Troupi-Kakavos mining pool 5,GR242EUB030,0.1441,Inland,2,13.87925052,38.73413,23.41805,,,,,
Troupi-Kakavos mining pool 6,GR242EUB034,0.0698,Inland,3,42.97994269,38.74125,23.40152,,,,,
Ilagka reservoir,GR242EUB035,0.0015,Inland,1,666.6666667,38.27627,24.10883,,,,,
Troupi-Kakavos mining pool 7,GR242EUB038,0.0054,Inland,4,740.7407407,38.74224,23.41881,,,,,
Troupi-Kakavos mining pool 8,GR242EUB046,0.0405,Inland,4,98.7654321,38.74101,23.41187,,,,,
Troupi-Kakavos mining pool 9,GR242EUB048,0.1988,Inland,3,15.09054326,38.74707,23.41097,,,,,
Paraskevorema mining pool 2,GR242EUB049,0.0216,Inland,5,231.4814815,38.77386,23.48765,,,,,
Tsakaioi artificial pond,GR242EUB050,0.0012,Inland,2,1666.666667,38.23182,24.21424,,,,,
Dafnousa mining pool,GR242EUB052,0.0113,Inland,4,353.9823009,38.71766,23.43935,,,,,
Paraskevorema mining pool 3,GR242EUB058,0.0732,Inland,8,109.2896175,38.77576,23.48341,,,,,
Souvala artificial pool (Agios Nikolaos),GR242EUB060,0.06,Inland,4,66.66666667,38.02418,24.38336,,,,,
Souvala marsh,GR242EUB067,0.0461,Inland,3,65.07592191,38.47054,23.65414,,,,,
Paraskevorema mining pool 4,GR242EUB072,0.006,Inland,5,833.3333333,38.77623,23.47707,,,,,
Megali Svala,GR242EUB078,0.0171,Inland,5,292.3976608,38.88203,23.12946,,,,,
Mikri Svala,GR242EUB079,0.0048,Inland,4,833.3333333,38.87775,23.15077,,,,,
Agia Eleousa marsh,GR242EUB080,0.0505,Inland,6,118.8118812,38.47602,23.63305,,,,,
Limnos,GR242EUB08399,0.081,Inland,5,61.72839506,38.83734,22.85664,,,,,
Larko mining pool 6,GR242EUB087,0.0192,Inland,3,156.25,38.67296,23.70132,,,,,
Larko mining pool 5,GR242EUB090,0.0104,Inland,1,96.15384615,38.59825,23.72537,,,,,
Agdines pond 2,GR242EUB094,0.0013,Inland,3,2307.692308,38.95297,23.28743,,,,,
Aris plateau artificial pond,GR242SKR010,0.0031,Inland,1,322.5806452,38.80091,24.64334,,,,,
Trizonia marsh,GR245TRI001,0.0122,Inland,1,81.96721311,38.36455,22.07074,,,,,
Kontias dam lake,GR411LEM003,0.3331,Inland,8,24.01681177,39.88923,25.14953,,,,,
Agkaryones artificial pond,GR411LEM015,0.003,Inland,5,1666.666667,39.89953,25.17299,,,,,
Moudros artificial pond,GR411LEM025,0.0038,Inland,2,526.3157895,39.87481,25.29155,,,,,
Agios Dimitrios artificial pond,GR411LEM038,0.003,Inland,3,1000,39.90917,25.15577,,,,,
Airport artificial pond,GR411LEM042,0.0055,Inland,3,545.4545455,39.91701,25.22802,,,,,
Kastro artificial pool 1,GR411LEM044,0.0047,Inland,7,1489.361702,39.86239,25.16464,,,,,
Kastro artificial pool 2,GR411LEM045,0.0035,Inland,4,1142.857143,39.86075,25.16556,,,,,
Livadi Marmaro 2,GR411LEM047,0.0158,Inland,5,316.4556962,39.96052,25.40325,,,,,
Livadi Marmaro 1,GR411LEM049,0.0249,Inland,3,120.4819277,39.96411,25.40174,,,,,
Metochi Leimonos,GR411LES018,0.0197,Inland,9,456.8527919,39.22516,26.19004,,,,,
Mikri Limni,GR411LES040,0.0512,Inland,16,312.5,39.10895,26.26569,,,,,
Megali Limni,GR411LES042,1.1102,Inland,3,2.702215817,39.10888,26.32963,,,,,
Agiasmoudia,GR411LES044,0.0192,Inland,2,104.1666667,39.12448,26.29345,,,,,
Skalochori gkioli,GR411LES060,0.0016,Inland,2,1250,39.26693,26.08489,,,,,
Kleious artificial pond,GR411LES072,0.0052,Inland,5,961.5384615,39.34056,26.31929,,,,,
Agia Sotira,GR411LES073,0.0137,Inland,7,510.9489051,39.09207,26.31592,,,,,
Xirokampos artificial pond,GR411LES076,0.004,Inland,4,1000,39.08597,26.2,,,,,
Agioi Apostoloi artificial pool,GR411LES090,0.0091,Inland,6,659.3406593,39.21211,26.17973,,,,,
Agioi Apostoloi pond,GR411LES091,0.0091,Inland,2,219.7802198,39.21675,26.18064,,,,,
Polychnitos hot springs,GR411LES094,0.0401,Inland,6,149.6259352,39.07329,26.19993,,,,,
Mantamados artificial ponds,GR411LES104,0.0058,Inland,6,1034.482759,39.30474,26.33928,,,,,
Vathes dam lake (Mounte),GR412IKA005,0.0178,Inland,8,449.4382022,37.59926,26.10156,,,,,
Pezi dam lake,GR412IKA006,0.1101,Inland,6,54.49591281,37.57015,26.05739,,,,,
Mytilinioi reservoir (Roggia),GR412SAM005,0.0254,Inland,3,118.1102362,37.74058,26.89602,,,,,
Marathokampos reservoir,GR412SAM006,0.0412,Inland,3,72.81553398,37.71826,26.71108,,,,,
Nerotrouvias reservoir,GR412SAM007,0.0041,Inland,2,487.804878,37.69409,26.85288,,,,,
Viki reservoir,GR413CHI007,0.0271,Inland,1,36.900369,38.58286,26.02283,,,,,
Zyfia dam lake,GR413CHI009,0.0595,Inland,7,117.6470588,38.31983,26.07684,,,,,
Armolia dam lake,GR413CHI012,0.0079,Inland,2,253.164557,38.25467,26.03336,,,,,
Kalamoti dam lake,GR413CHI027,0.164,Inland,1,6.097560976,38.24917,26.05193,,,,,
Kakos Potamos dam lake (Psaropetra),GR413CHI028,0.009,Inland,1,111.1111111,38.36499,26.10274,,,,,
Kofina reservoir,GR413CHI030,0.0114,Inland,1,87.71929825,38.37804,26.11251,,,,,
Oinousses reservoir,GR413OIN002,0.0096,Inland,1,104.1666667,38.51923,26.22135,,,,,
Neromana or Pyli lake,GR421KOS002,0.003,Inland,4,1333.333333,36.86449,27.15932,,,,,
Messaria reservoir,GR421KOS013,0.0323,Inland,3,92.87925697,36.86969,27.22469,,,,,
Avdelolimni,GR421KOS014,0.0034,Inland,2,588.2352941,36.85602,27.31092,,,,,
Partheni dam lake,GR421LER003,0.15,Inland,1,6.666666667,37.17619,26.80842,,,,,
Nanoi lake,GR421ROD001,0.0176,Inland,4,227.2727273,36.26375,27.89112,,,,,
Apolakkia dam lake,GR421ROD002,0.5412,Inland,3,5.543237251,36.11005,27.79663,,,,,
Atsaka dam lake 1,GR421ROD004,0.0041,Inland,2,487.804878,36.19295,28.02162,,,,,
Atsakas dam lake 2,GR421ROD010,0.0059,Inland,2,338.9830508,36.19166,28.02019,,,,,
Petaloudes stream,GR421ROD016,0.0484,Inland,4,82.6446281,36.33927,28.05959,,,,,
Emponas mining pool,GR421ROD018,0.0034,Inland,1,294.1176471,36.25181,27.88504,,,,,
Skaloniti reservoir,GR421ROD020,0.0642,Inland,2,31.15264798,36.01016,27.87411,,,,,
Kattavia marsh,GR421ROD022,1.7156,Inland,11,6.411750991,35.94273,27.77832,,,,,
Gennadi Anonymous ponds,GR421ROD026,0.0051,Inland,5,980.3921569,36.02823,27.89204,,,,,
Epta Piges dam,GR421ROD029,0.0017,Inland,3,1764.705882,36.25368,28.11358,,,,,
Kritinia dam artificial pool,GR421ROD038,0.0046,Inland,2,434.7826087,36.26319,27.85106,,,,,
Aladinos stream (Megalos Potamos),GR422AND005,0.0028,Inland,9,3214.285714,37.81001,24.90021,,,,,
Varvarakaina artificial pond,GR422KIM007,0.0098,Inland,3,306.122449,36.81912,24.59139,,,,,
Kalamitsi artificial pond,GR422KIM008,0.0024,Inland,4,1666.666667,36.77579,24.54738,,,,,
Deka artificial pond 1,GR422KIM009,0.0029,Inland,7,2413.793103,36.78461,24.54266,,,,,
Deka artificial pond 2,GR422KIM010,0.0015,Inland,5,3333.333333,36.78482,24.54121,,,,,
Provatas marshes (1 and 2),GR422MIL004,0.0435,Inland,14,321.8390805,36.68069,24.44294,,,,,
Zefyria artificial pond,GR422MIL005,0.0055,Inland,3,545.4545455,36.706,24.48692,,,,,
