Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
GALATEIA LAKE,CY000FAM010,0.5850395,Inland,13,22.22072185,35.41612,34.05735,0.12540048360824585,0.0811166539788246,0.0888281688094139,0.1065287590026855
OVGOROS RESERVOIR,CY000FAM012,0.0406936,Inland,5,122.8694438,35.37217,33.94346,0.052166298031806946,0.0022407607175409,0.0044815214350819,0.0182652045041322
FLAMOUDI RESERVOIR,CY000FAM013,0.0816709,Inland,10,122.4426326,35.40615,33.84352,0.4417556822299957,0.3754726946353912,0.3976147174835205,0.4383297562599182
PLATANI MARSH,CY000FAM016,0.0137275,Inland,3,218.5394282,35.32261,33.77268,0.0515429712831974,0.0019351281225681,0.0038414902519434,0.0137755842879414
LEFKONOIKO RESERVOIR,CY000FAM017,0.1266625,Inland,12,94.73995855,35.2912,33.7216,0.05693066492676735,0.0024841488339006,0.0049682976678013,0.0189761370420455
KNODARA RESERVOIR,CY000FAM019,0.0135935,Inland,5,367.8228565,35.29094,33.65639,0.06960846483707428,0.0029796122107654,0.011414835229516,0.042198471724987
AGRICULTURAL POND AT KIADOS,CY000FAM020,0.0056661,Inland,2,352.9764741,35.2532,33.59404,0.06960846483707428,0.0029796122107654,0.011414835229516,0.042198471724987
KORNOKIPOS RESERVOIR,CY000FAM021,0.0563214,Inland,4,71.02096184,35.2515,33.57853,0.08551052212715149,0.0027381207328289,0.0054503986611962,0.0641410797834396
AMMOHOSTOS LAKES,CY000FAM025,2.2692819,Inland,9,3.966012332,35.13239,33.90656,0.05197473242878914,0.0023715570569038,0.0044141341932117,0.0194686837494373
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.1",CY000FAM027,0.0416563,Inland,1,24.00597269,34.99673,34.04307,,,,
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.2",CY000FAM028,0.0344675,Inland,1,29.01283818,34.98958,34.03848,,,,
AFTELLOTOS RESERVOIR,CY000FAM029,0.0366948,Inland,12,327.0218124,34.98034,34.03878,,,,
ACHNA RESERVOIR,CY000FAM031,0.8492579,Inland,122,143.6548309,35.04996,33.8049,0.5303529500961304,0.4709251523017883,0.4972624778747558,0.5367447137832642
ACHERITOU RESERVOIR,CY000FAM032,1.1421728,Inland,11,9.630766903,35.13111,33.8399,0.05197473242878914,0.0023715570569038,0.0044141341932117,0.0194686837494373
KOUKLIA RESERVOIR,CY000FAM033,1.2602136,Inland,19,15.0768092,35.12339,33.7584,0.04834934324026108,0.0019667649175971,0.0037810138892382,0.0136403450742363
AKANTHOU RECHARGE WEIR No.1,CY000FAM041,0.0330418,Inland,9,272.3822552,35.40179,33.7598,0.3679148554801941,0.298340231180191,0.3179376721382141,0.3567311763763428
AKANTHOU  RECHARGE WEIR No.2,CY000FAM042,0.0075046,Inland,7,932.7612398,35.36675,33.70745,0.05880649760365486,0.0020583299919962,0.0041166599839925,0.019481236115098
SYGKRASI RESERVOIR,CY000FAM043,0.8893428,Inland,5,5.62212906,35.28334,33.84436,0.05831240117549896,0.0027088541537523,0.0083318166434764,0.0295391846448183
WETLAND AT AMMOHOSTOS INDUSTRIAL AREA,CY000FAM045,0.0215118,Inland,2,92.9722292,35.14432,33.89738,0.05197473242878914,0.0023715570569038,0.0044141341932117,0.0194686837494373
AKANTHOU  RECHARGE WEIR No.3,CY000FAM047,0.0024909,Inland,6,2408.767915,35.38165,33.72128,0.05880649760365486,0.0020583299919962,0.0041166599839925,0.019481236115098
AKANTHOU RESERVOIR,CY000FAM048,0.002653,Inland,13,4900.11308,35.39739,33.76965,0.3679148554801941,0.298340231180191,0.3179376721382141,0.3567311763763428
LIOPETRI  RECHARGE WEIR,CY000FAM054,0.0339907,Inland,5,147.0990594,34.98401,33.87747,0.07984688133001328,0.0071844300255179,0.0117659345269203,0.0701294168829917
PANAGIA AMMOHOSTOU RECHARGE WEIR,CY000FAM061,0.0138819,Inland,6,432.2174918,35.00461,34.04848,,,,
DERYNIA  RECHARGE WIER,CY000FAM062,0.0071215,Inland,2,280.8397107,35.06571,33.93047,0.07243379950523376,0.0029484955593943,0.0150778843089938,0.0597833469510078
KONTEA RECHARGE WIER,CY000FAM063,0.0039892,Inland,5,1253.384137,35.07582,33.71744,0.542332649230957,0.4747384786605835,0.5059921145439148,0.5519781708717346
GYPSOU RECHARGE WER,CY000FAM066,0.0568812,Inland,4,70.32200446,35.28191,33.79578,0.0515429712831974,0.0019351281225681,0.0038414902519434,0.0137755842879414
PARALIMNI IRRIGATION TANK,CY000FAM071,0.0003539,Inland,5,14128.28483,35.0187,34.01155,,,,
GOLF POND- KORINEUM GOLF COURSE,CY000KYR002,0.0059769,Inland,6,1003.86488,35.32233,33.51312,0.08551052212715149,0.0027381207328289,0.0054503986611962,0.0641410797834396
AGIOS AMVROSIOS RESERVOIR,CY000KYR003,0.0562598,Inland,12,213.2961724,35.31325,33.49879,0.08566392958164215,0.0029796455055475,0.0058909473009407,0.0510565564036369
KLEPINI RESERVOIR (AGIOS EPIKTITOS),CY000KYR005,0.0897637,Inland,11,122.5439682,35.31506,33.44531,0.08566392958164215,0.0029796455055475,0.0058909473009407,0.0510565564036369
AGIOS EPIKTITOS RIVER RECHARGE BARRIER,CY000KYR006,0.0060351,Inland,12,1988.368047,35.3238,33.43227,0.08566392958164215,0.0029796455055475,0.0058909473009407,0.0510565564036369
AGIOS ERMOLAOS RESERVOIR,CY000KYR009,1.3597036,Inland,4,2.941817614,35.26335,33.17064,0.08877425640821457,0.0032133273780345,0.0098163029178977,0.0582979246973991
PILERI RESERVOIR,CY000KYR010,0.0839586,Inland,4,47.64252858,35.27505,33.20283,0.08877425640821457,0.0032133273780345,0.0098163029178977,0.0582979246973991
PANAGRA RESERVOIR (MYRTOU),CY000KYR011,0.262412,Inland,160,609.7282136,35.32654,33.07462,0.07745497673749924,0.003285787301138,0.0095138484612107,0.036034133285284
KORMAKITIS RESERVOIR,CY000KYR013,0.0307784,Inland,6,194.9419073,35.32295,32.99523,0.5943503379821777,0.5052098035812378,0.546259880065918,0.6091309189796448
KAZAFANI RIVER RECHARGE WIER No.1,CY000KYR018,0.0013107,Inland,7,5340.657664,35.31419,33.35482,0.10831744223833084,0.0036887088790535,0.0169721245765686,0.0874224305152893
KAZAFANI RIVER RECHARGE WIER No.2,CY000KYR019,0.001539,Inland,7,4548.408057,35.32974,33.3432,0.10831744223833084,0.0036887088790535,0.0169721245765686,0.0874224305152893
VASILEIA RESERVOIR,CY000KYR022,0.0044556,Inland,12,2693.239968,35.34816,33.11213,,,,
LEFKARA RESERVOIR,CY000LAR001,0.3612151,Inland,11,30.452769,34.89644,33.28936,0.11110296845436096,0.0032957734074443,0.0065915468148887,0.0742566213011741
DIPOTAMOS RESERVOIR,CY000LAR002,0.8441512,Inland,20,23.69243804,34.85821,33.35585,0.5989215970039368,0.5301573276519775,0.5593464374542236,0.6080896258354187
CHOIROKOITIA IRRIGATION TANK No2,CY000LAR004,0.0295385,Inland,2,67.70824517,34.80599,33.32753,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.1,CY000LAR005,0.0019924,Inland,2,1003.814495,34.73127,33.30976,,,,
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.2,CY000LAR006,0.004382,Inland,4,912.825194,34.72546,33.30308,,,,
LIMESTONE QUARRY POND- VASILIKO CEMENT WORKS ,CY000LAR007,0.0223845,Inland,3,134.0213094,34.75359,33.27833,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
KALAVASOS RESERVOIR,CY000LAR008,0.6098833,Inland,6,9.837947686,34.80592,33.25694,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
ORA IRRIGATION TANK No.3,CY000LAR009,0.0116715,Inland,6,514.0727413,34.86999,33.19272,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
AGIOI VAVATSINIAS IRRIGATION TANK,CY000LAR010,0.0078977,Inland,1,126.6191423,34.87466,33.1887,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
ORA IRRIGATION TANK No.1,CY000LAR011,0.0092455,Inland,9,973.4465416,34.86833,33.18174,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
