Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Maries dam lake,GR115THA001,0.0112,Inland,5.0,446.4285714,40.70018,24.64424,0.4759175479412079,0.3305256366729736,0.4069996178150177,0.5017596483230591
Moschopoulo reservoir,GR222KER001,0.0293,Inland,5.0,170.6484642,39.37325,20.10617,0.7572150826454163,0.6739742159843445,0.7553998827934265,0.7979586124420166
Anemomylos marsh,GR222KER020,0.0171,Inland,5.0,292.3976608,39.61898,19.82912,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Kerkyra golf ponds (Ropa),GR222KER021,0.0402,Inland,12.0,298.5074627,39.61979,19.80407,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Skoteini pond,GR222KER022,0.0442,Inland,12.0,271.4932127,39.64456,19.82846,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Mpertzanos pond,GR222KER023,0.0616,Inland,8.0,129.8701299,39.64875,19.81145,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Gavrolimni,GR222KER027,0.0519,Inland,10.0,192.6782274,39.65826,19.80113,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Gaidarana marsh,GR222KER028,0.2329,Inland,4.0,17.17475311,39.66744,19.78758,0.47225016355514526,0.2604475319385528,0.3804168105125427,0.5308622121810913
Kounoupina pond,GR222KER029,0.0194,Inland,6.0,309.2783505,39.68358,19.76376,0.47225016355514526,0.2604475319385528,0.3804168105125427,0.5308622121810913
Makris pond,GR222KER033,0.0075,Inland,1.0,133.3333333,39.67237,19.78938,0.47225016355514526,0.2604475319385528,0.3804168105125427,0.5308622121810913
Boutsouli pond,GR222KER043,0.0325,Inland,2.0,61.53846154,39.61079,19.8432,0.3041869103908539,0.0741589069366455,0.1929019838571548,0.2996570765972137
Martis pond,GR222KER045,0.092,Inland,4.0,43.47826087,39.61528,19.8343,0.3041869103908539,0.0741589069366455,0.1929019838571548,0.2996570765972137
Katapinos plateau,GR222KER048,0.0374,Inland,5.0,133.6898396,39.71802,19.8287,0.47225016355514526,0.2604475319385528,0.3804168105125427,0.5308622121810913
CHYTA pond,GR222KER049,0.0095,Inland,4.0,421.0526316,39.65296,19.8111,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Kloudatiki pond,GR222KER050,0.018,Inland,7.0,388.8888889,39.64326,19.82004,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Fontana marsh,GR222KER051,0.1124,Inland,2.0,17.79359431,39.66534,19.7793,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Koritoi marsh,GR222KER052,0.0206,Inland,3.0,145.631068,39.6591,19.78635,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Syvilatika pond,GR222KER053,0.0151,Inland,2.0,132.4503311,39.67607,19.78559,0.47225016355514526,0.2604475319385528,0.3804168105125427,0.5308622121810913
Temploni temporary pond,GR222KER054,0.0445,Inland,7.0,157.3033708,39.64751,19.80511,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Mpeleniotis pond,GR222KER056,0.0109,Inland,6.0,550.4587156,39.6052,19.83297,0.5346282720565796,0.3710432946681976,0.4831754565238952,0.5808932185173035
Angalaki cave,GR223KFL0030,0.008,Inland,9.0,1125.0,38.23547,20.61735,0.6204649209976196,0.4709611237049103,0.5772685408592224,0.687221884727478
Melissani cave,GR223KFL0035,0.01,Inland,1.0,100.0,38.25695,20.62371,,,,
Avythos lake (Megali Akoli),GR223KFL0037,0.0032,Inland,10.0,3125.0,38.17165,20.7109,0.6701214909553528,0.5476675033569336,0.640590250492096,0.7247896194458008
Zervati cave,GR223KFL0038,0.0045,Inland,10.0,2222.222222,38.25238,20.62867,,,,
Akoli pond,GR223KFL0039,0.0025,Inland,27.0,10800.0,38.19939,20.67559,0.6701214909553528,0.5476675033569336,0.640590250492096,0.7247896194458008
Agia Eirini reservoir 2,GR223KFL007,0.0632,Inland,1.0,15.82278481,38.13408,20.75559,0.6993510723114014,0.6161171793937683,0.6841895580291748,0.7379058599472046
Agia Eirini reservoir 1,GR223KFL008,0.0617,Inland,6.0,97.24473258,38.13489,20.75089,0.6993510723114014,0.6161171793937683,0.6841895580291748,0.7379058599472046
Karya reservoir,GR224LEF005,0.0552,Inland,4.0,72.46376812,38.76139,20.67679,0.6734501719474792,0.5520102977752686,0.6441192626953125,0.7289419174194336
Komilios valley marsh,GR224LEF007,0.0125,Inland,2.0,160.0,38.70221,20.5883,0.6438941955566406,0.5110835433006287,0.6053318381309509,0.699032187461853
Marantochori lake,GR224LEF011,0.0097,Inland,9.0,927.8350515,38.64329,20.64004,0.6912720799446106,0.58269202709198,0.6664689779281616,0.7385203838348389
Psathi artificial pond,GR242EUB002,0.0092,Inland,5.0,543.4782609,38.0188,24.39597,0.5500584244728088,0.4646476507186889,0.5178581476211548,0.5753724575042725
Dystos lake,GR242EUB004,7.2552,Inland,10.0,1.378321755,38.36399,24.14172,0.4008534252643585,0.2321035265922546,0.3394739031791687,0.4442254602909088
Agdines pond 1,GR242EUB0093,0.012,Inland,6.0,500.0,38.96358,23.26265,0.3569941520690918,0.2019769996404647,0.264575332403183,0.386667937040329
Agdines pond 4,GR242EUB0096,0.0046,Inland,5.0,1086.956522,38.95496,23.31768,0.3569941520690918,0.2019769996404647,0.264575332403183,0.386667937040329
Troupi-Kakavos mining pool 1,GR242EUB011,0.0241,Inland,2.0,82.98755187,38.7517,23.39711,0.42215508222579956,0.2749863266944885,0.346929520368576,0.4622602462768554
Troupi-Kakavos mining pool 2,GR242EUB015,0.0312,Inland,3.0,96.15384615,38.72474,23.42871,0.6621423363685608,0.5703219771385193,0.628951907157898,0.6992368102073669
Troupi-Kakavos mining pool 3,GR242EUB017,0.0419,Inland,3.0,71.59904535,38.74804,23.3966,,,,
