Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Ganwolho,cn1,7.078,Riverine,167,23.59423566,36.71666667,126.45,0.5177342891693115,0.4227719306945801,0.4656233191490173,0.5266608595848083
Dorisum,gg1,0.31,Riverine,148,477.4193548,37.2,127.7,0.6275611519813538,0.5836118459701538,0.6217115521430969,0.649505615234375
Sannam,gg2,1.265,Riverine,163,128.8537549,37.68333333,126.6666667,0.6622391939163208,0.6311742067337036,0.6496269702911377,0.6710713505744934
Janghang,gg3,1.937,Riverine,196,101.1874032,37.63333333,126.75,0.6141101717948914,0.5618478655815125,0.6003162264823914,0.6311072707176208
Siamri,gg4,6.5,Riverine,115,17.69230769,37.76666667,126.65,0.6387678384780884,0.6036204695701599,0.6317720413208008,0.6536784172058105
Gongreungchun,gg5,0.78,Riverine,115,147.4358974,37.75,126.7,0.662497341632843,0.6339576840400696,0.662528395652771,0.6785020232200623
Sungdong,gg6,3.6,Riverine,115,31.94444444,37.78333333,126.6666667,0.6387678384780884,0.6036204695701599,0.6317720413208008,0.6536784172058105
Wansa,gn2,1.901,Riverine,201,105.7338243,35.13333333,127.9833333,0.6625809073448181,0.6182094812393188,0.6463794708251953,0.6761192083358765
Daeboong,gn5,0.504,Riverine,93,184.5238095,35.43333333,128.45,0.5991855263710022,0.5257053971290588,0.5946901440620422,0.6402424573898315
Yongyangbo,gw1,1.0,Riverine,189,189.0,37.21666667,127.7166667,0.6275611519813538,0.5836118459701538,0.6217115521430969,0.649505615234375
Hanbando,gw2,2.079,Riverine,159,76.47907648,37.2,128.3333333,0.5724706053733826,0.492814689874649,0.5445031523704529,0.5898119807243347
Chimsil,jn1,2.16,Riverine,261,120.8333333,35.26666667,127.3166667,0.6247449517250061,0.5885436534881592,0.6164067983627319,0.6374631524085999
Damyang,jn4,0.853,Riverine,241,282.5322392,35.25,126.9,0.5919897556304932,0.5158608555793762,0.5886121988296509,0.6314771771430969
Dowoong,cn2,0.009,Moor,159,17666.66667,36.83333333,126.2,0.705086886882782,0.6801669597625732,0.7079989314079285,0.7209921479225159
Doolrinae,gb1,0.034,Moor,262,7705.882353,36.7,128.2166667,0.6590129733085632,0.6166362166404724,0.6395239233970642,0.6660588383674622
Myonsan,gb2,0.009,Moor,165,18333.33333,37.08333333,129.1166667,0.6283379793167114,0.6023697257041931,0.623478353023529,0.6393114924430847
Chunchuksan,gb4,0.09,Moor,120,1333.333333,36.91666667,129.2833333,0.6744855642318726,0.6412919163703918,0.6615036725997925,0.6851279139518738
Sajapyung,gn1,0.587,Moor,271,461.669506,35.53333333,128.9833333,0.6749456524848938,0.6411927342414856,0.6588150858879089,0.6825121641159058
Shinbulsan,gn3,0.308,Moor,125,405.8441558,35.41666667,128.9833333,0.69013512134552,0.6564072966575623,0.6778783202171326,0.6966160535812378
Whaeom,gn4,0.124,Moor,113,911.2903226,35.4,129.0833333,0.6048683524131775,0.5538541674613953,0.5844777226448059,0.6186665892601013
Ungok,jb2,1.631,Moor,312,191.2936849,35.46666667,126.6333333,0.5901864171028137,0.5397607088088989,0.5931095480918884,0.6275046467781067
Weolyoung,jb4,0.061,Moor,297,4868.852459,35.51666667,126.8666667,0.6503743529319763,0.615547239780426,0.64438396692276,0.6646849513053894
Moolyoungari,jj1,0.309,Moor,254,822.0064725,33.35,126.6833333,0.6738613247871399,0.645940899848938,0.6683189868927002,0.6843149662017822
1100goji,jj2,0.413,Moor,274,663.4382567,33.35,126.45,0.6484817862510681,0.6192323565483093,0.6416131258010864,0.6621277928352356
Rilriripundaegi,jn5,0.495,Moor,258,521.2121212,34.95,127.4166667,0.7240486741065979,0.698866605758667,0.7126496434211731,0.7299472093582153
Jangdo,jn6,0.087,Moor,160,1839.08046,34.66666667,125.3666667,,,,
Baekgokji,cb1,0.401,Reservoir,226,563.5910224,36.85,127.3666667,0.6441790461540222,0.6123931407928467,0.6318699717521667,0.6488933563232422
Gonggeomji,gb3,0.26,Reservoir,223,857.6923077,36.5,128.15,0.6304099559783936,0.5791791677474976,0.608249843120575,0.6409686207771301
Dongrimji,jb1,2.775,Reservoir,246,88.64864865,35.53333333,126.7166667,0.571465790271759,0.4849973618984222,0.5720658898353577,0.6180047392845154
Baekseokjae,jb3,0.126,Reservoir,146,1158.730159,35.93333333,126.7166667,0.678654134273529,0.6307754516601562,0.6581011414527893,0.6915211081504822
Baekryun,jn2,0.157,Reservoir,89,566.8789809,35.28333333,127.15,0.6054482460021973,0.544937789440155,0.6030887961387634,0.63189297914505
Wooseupje,jn3,0.425,Reservoir,189,444.7058824,34.93333333,126.5666667,0.6222778558731079,0.5640970468521118,0.6190869212150574,0.6614784598350525
Gocheonam,jn8,7.321,Reservoir,65,8.878568502,34.51666667,126.45,0.5104406476020813,0.4238499402999878,0.4799927175045013,0.5301089882850647
