Name Wetland,ID,Area (km2),Species richness,Species normalized,lon,lat,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,TP,NOXN,bod,ec,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Abberton Reservoir,1,7.26,6,0.826446,0.875,51.875,0.000841,15.9031,0.266463,0.04357,1e+31,1e+31,0.608101,5.726097,2.300367,546.3082,0.6041185259819031,0.5737524032592773,0.5947748422622681,0.6146663427352905
AldeÃÂÃÂÃÂÃÂOreÃÂÃÂÃÂÃÂ Estuary,2,25.47,1334,52.37534,1.54167,52.125,0.000489,6.05161,0.452219,1.59787,182.826,39.6822,1e+31,1e+31,1e+31,1e+31,0.5636614561080933,0.501390278339386,0.5534220337867737,0.5977043509483337
Arun Valley,3,52.9,491,9.281664,-0.54167,50.9583,0.00054,17.812,0.64675,10.6441,210.69,4.40029,1e+31,1e+31,1e+31,1e+31,0.5152895450592041,0.3819787800312042,0.4803394675254822,0.5765618681907654
Avon Valley,4,13.85,418,30.18051,-1.79167,50.7917,0.001646,7.14786,0.284392,47.0091,289.906,10.4797,0.385644,3.430791,2.081622,290.9994,0.59726482629776,0.5680605173110962,0.5904158353805542,0.6075417995452881
Benfleet and Southend Marshes,5,22.51,152,6.752554,0.708333,51.5417,0.000916,6.32413,0.217693,0.64625,7761.83,25.2829,0.497196,2.818558,2.195766,435.5003,0.7112863063812256,0.6938134431838989,0.7084245085716248,0.7198829054832458
Blackwater Estuary,6,43.95,465,10.5802,0.875,51.7917,0.000849,4.6513,0.381531,0.04357,1e+31,1e+31,0.497196,2.818558,2.195766,435.5003,0.6612799763679504,0.6380253434181213,0.655868649482727,0.6713161468505859
Breydon Water,7,12.03,1193,99.16874,1.625,52.625,0.000417,3.79204,0.496504,2.04639,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.5242185592651367,0.4497883021831512,0.501330554485321,0.5524867177009583
Broadland,8,46.23,1846,39.93078,1.625,52.7083,0.000459,4.75568,0.48073,0.240132,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.49435973167419434,0.4226259887218475,0.4745788872241974,0.5242827534675598
Chesil Beach and The Fleet,9,7.48,348,46.52406,-2.54167,50.625,0.001112,12.4125,0.503579,0.748843,1e+31,1e+31,0.251673,2.837046,1.731562,360.5367,0.6342468857765198,0.5786666870117188,0.6361644268035889,0.6701968312263489
ChichesterÃÂÃÂÃÂÃÂ andÃÂÃÂÃÂÃÂ Langstone Harbours,10,58.1,763,13.13253,-0.95833,50.7917,0.001444,1.48142,0.204895,1.02781,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.7552869915962219,0.7390256524085999,0.7518791556358337,0.7629032731056213
Chippenham Fen,11,1.12,251,224.1071,0.458333,52.2917,0.000929,9.15429,0.261603,1.46709,414.95,37.1056,0.459977,2.473891,2.099887,403.4778,0.5277605056762695,0.4950367212295532,0.5193526148796082,0.5395650863647461
Colne Estuary,12,27.01,227,8.404295,0.958333,51.7917,0.000289,4.04441,0.491728,0.142922,1e+31,1e+31,0.497196,2.818558,2.195766,435.5003,0.43220534920692444,0.3241294920444488,0.3874309659004211,0.4479784667491913
Crouch and Roach Estuaries,13,17.36,132,7.603687,0.708333,51.625,0.000839,8.45852,0.291186,1.06641,1514.88,11.0377,0.497196,2.818558,2.195766,435.5003,0.6865500211715698,0.6575989127159119,0.680263876914978,0.6978921890258789
Deben Estuary,14,9.79,1131,115.526,1.375,52.0417,0.000556,8.06854,0.457585,4.46762,368.685,39.6185,0.468119,2.984008,2.443425,458.4886,0.5406225323677063,0.4852812588214874,0.5337887406349182,0.5767772197723389
The Dee Estuary,15,131.31,1419,10.80649,-3.20833,53.2917,0.001637,24.8172,0.38136,1.05814,1e+31,1e+31,0.199056,1.206905,1.860465,151.6383,0.6491160988807678,0.6290137767791748,0.6507932543754578,0.6632643938064575
Dengie,16,31.27,116,3.709626,0.958333,51.7083,1e+31,0.865895,1e+31,1e+31,1e+31,1e+31,0.497196,2.818558,2.195766,435.5003,,,,
Dersingham Bog,17,1.58,448,283.5443,0.458333,52.875,0.001135,2.66575,0.250245,1.83151,385.569,28.2359,0.36099,2.749294,2.391972,381.7264,0.6906904578208923,0.6736469268798828,0.6872398853302002,0.7003053426742554
Dorset Heathlands,18,67.3,2001,29.73254,-2.20833,50.625,0.001541,30.0845,0.342714,0.969176,530.476,48.6306,0.366214,3.421175,2.058512,361.1248,0.6601698994636536,0.6335688233375549,0.6550171971321106,0.6723142266273499
Duddon Estuary,19,68.06,1017,14.9427,-3.29167,54.2083,0.002123,18.8521,0.563031,1.24826,1e+31,1e+31,0.130126,0.865409,1.628556,96.91967,0.5983458757400513,0.5716819763183594,0.600674033164978,0.6160287261009216
Esthwaite Water,20,1.37,67,48.90511,-2.95833,54.375,0.003085,34.1429,0.223293,14.4609,101.002,1.73437,0.162171,1.870595,1.666724,185.6924,0.6298859715461731,0.6237165331840515,0.6297808289527893,0.6341791749000549
Exe Estuary,21,23.46,1405,59.88917,-3.45833,50.625,0.0017,11.852,0.375168,1.14578,1e+31,1e+31,0.340611,2.999686,1.962188,311.2905,0.6718681454658508,0.635837733745575,0.6653591394424438,0.6895042061805725
Foulness,22,109.33,80,0.73173,0.958333,51.5417,1e+31,0.0,1e+31,1e+31,1e+31,1e+31,0.497196,2.818558,2.195766,435.5003,,,,
Gibraltar Point,23,4.14,122,29.4686,0.375,53.125,1e+31,0.682561,1e+31,1e+31,1e+31,1e+31,0.426016,2.313132,2.033372,287.5666,,,,
Hamford Water,24,21.87,162,7.407407,1.20833,51.875,0.000852,8.61157,0.266059,0.574644,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.5439882874488831,0.5024409294128418,0.5316662192344666,0.5569466948509216
Holburn Lake and Moss,25,0.28,3,10.71429,-1.95833,55.625,0.000361,28.9479,0.567648,0.201082,66.3995,1.38373,1e+31,1e+31,1e+31,1e+31,0.4358290731906891,0.3322429955005646,0.4140633642673492,0.4879046380519867
Humber Estuary,26,379.88,1487,3.914394,-0.125,53.625,1e+31,1.27134,1e+31,1e+31,1e+31,1e+31,0.622697,2.991808,2.419256,586.6047,,,,
Irthinghead Mires,27,7.92,240,30.30303,-2.54167,55.125,0.002845,48.2673,0.193752,1.61843,78.6043,1.14303,0.076966,0.473668,1.618902,142.1587,0.542855978012085,0.5200898051261902,0.5367920994758606,0.550451934337616
Isles of Scilly,28,40.2,1700,42.28856,-6.375,49.9583,0.002194,0.84235,0.18127,1.41225,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.7135090827941895,0.7038224935531616,0.7101807594299316,0.7165272831916809
