Name Wetland,ID,Region,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
,20,,0.03,,40,1333.333333,,
,44,,0.122,,32,262.295082,,
,3,,0.144,,25,173.6111111,,
,32,,0.149,,45,302.0134228,,
,12,,0.159,,53,333.3333333,,
,23,,0.166,,43,259.0361446,,
,30,,0.214,,40,186.9158879,,
,43,,0.378,,45,119.047619,,
,28,,0.396,,24,60.60606061,,
,22,,0.401,,46,114.713217,,
,2,,0.525,,30,57.14285714,,
,35,,0.563,,54,95.91474245,,
,16,,0.595,,34,57.14285714,,
,37,,0.659,,62,94.08194234,,
,51,,0.723,,71,98.20193638,,
,14,,0.751,,63,83.88814913,,
,45,,0.754,,41,54.37665782,,
,9,,0.786,,50,63.61323155,,
,38,,0.789,,57,72.24334601,,
,6,,0.826,,54,65.37530266,,
,48,,0.921,,48,52.11726384,,
,25,,1.012,,42,41.50197628,,
,29,,1.024,,62,60.546875,,
,13,,1.096,,55,50.18248175,,
,15,,1.107,,60,54.20054201,,
,36,,1.163,,68,58.46947549,,
,42,,1.163,,55,47.29148753,,
,10,,1.205,,67,55.60165975,,
,33,,1.207,,61,50.53852527,,
,8,,1.268,,44,34.70031546,,
,41,,1.317,,69,52.39179954,,
,31,,1.401,,62,44.25410421,,
,11,,1.895,,57,30.07915567,,
,18,,2.108,,61,28.9373814,,
,26,,2.243,,52,23.18323674,,
,34,,2.332,,66,28.30188679,,
,39,,2.38,,80,33.61344538,,
,19,,2.616,,62,23.70030581,,
,50,,2.684,,80,29.80625931,,
,47,,2.758,,93,33.72008702,,
,7,,2.811,,77,27.39238705,,
,5,,3.136,,54,17.21938776,,
,17,,3.208,,54,16.83291771,,
,27,,3.237,,47,14.51961693,,
,1,,3.239,,65,20.0679222,,
,40,,3.56,,107,30.05617978,,
,4,,4.228,,71,16.79280984,,
,21,,4.834,,58,11.99834506,,
,24,,6.884,,72,10.45903544,,
,49,,10.49,,105,10.00953289,,
,46,,11.472,,91,7.932357043,,
