Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
GALATEIA LAKE,CY000FAM010,0.5850395,Inland,13,22.22072185,35.41612,34.05735
OVGOROS RESERVOIR,CY000FAM012,0.0406936,Inland,5,122.8694438,35.37217,33.94346
FLAMOUDI RESERVOIR,CY000FAM013,0.0816709,Inland,10,122.4426326,35.40615,33.84352
PLATANI MARSH,CY000FAM016,0.0137275,Inland,3,218.5394282,35.32261,33.77268
LEFKONOIKO RESERVOIR,CY000FAM017,0.1266625,Inland,12,94.73995855,35.2912,33.7216
KNODARA RESERVOIR,CY000FAM019,0.0135935,Inland,5,367.8228565,35.29094,33.65639
AGRICULTURAL POND AT KIADOS,CY000FAM020,0.0056661,Inland,2,352.9764741,35.2532,33.59404
KORNOKIPOS RESERVOIR,CY000FAM021,0.0563214,Inland,4,71.02096184,35.2515,33.57853
AMMOHOSTOS LAKES,CY000FAM025,2.2692819,Inland,9,3.966012332,35.13239,33.90656
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.1",CY000FAM027,0.0416563,Inland,1,24.00597269,34.99673,34.04307
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.2",CY000FAM028,0.0344675,Inland,1,29.01283818,34.98958,34.03848
AFTELLOTOS RESERVOIR,CY000FAM029,0.0366948,Inland,12,327.0218124,34.98034,34.03878
ACHNA RESERVOIR,CY000FAM031,0.8492579,Inland,122,143.6548309,35.04996,33.8049
ACHERITOU RESERVOIR,CY000FAM032,1.1421728,Inland,11,9.630766903,35.13111,33.8399
KOUKLIA RESERVOIR,CY000FAM033,1.2602136,Inland,19,15.0768092,35.12339,33.7584
AKANTHOU RECHARGE WEIR No.1,CY000FAM041,0.0330418,Inland,9,272.3822552,35.40179,33.7598
AKANTHOU  RECHARGE WEIR No.2,CY000FAM042,0.0075046,Inland,7,932.7612398,35.36675,33.70745
SYGKRASI RESERVOIR,CY000FAM043,0.8893428,Inland,5,5.62212906,35.28334,33.84436
WETLAND AT AMMOHOSTOS INDUSTRIAL AREA,CY000FAM045,0.0215118,Inland,2,92.9722292,35.14432,33.89738
AKANTHOU  RECHARGE WEIR No.3,CY000FAM047,0.0024909,Inland,6,2408.767915,35.38165,33.72128
AKANTHOU RESERVOIR,CY000FAM048,0.002653,Inland,13,4900.11308,35.39739,33.76965
LIOPETRI  RECHARGE WEIR,CY000FAM054,0.0339907,Inland,5,147.0990594,34.98401,33.87747
PANAGIA AMMOHOSTOU RECHARGE WEIR,CY000FAM061,0.0138819,Inland,6,432.2174918,35.00461,34.04848
DERYNIA  RECHARGE WIER,CY000FAM062,0.0071215,Inland,2,280.8397107,35.06571,33.93047
KONTEA RECHARGE WIER,CY000FAM063,0.0039892,Inland,5,1253.384137,35.07582,33.71744
GYPSOU RECHARGE WER,CY000FAM066,0.0568812,Inland,4,70.32200446,35.28191,33.79578
PARALIMNI IRRIGATION TANK,CY000FAM071,0.0003539,Inland,5,14128.28483,35.0187,34.01155
GOLF POND- KORINEUM GOLF COURSE,CY000KYR002,0.0059769,Inland,6,1003.86488,35.32233,33.51312
AGIOS AMVROSIOS RESERVOIR,CY000KYR003,0.0562598,Inland,12,213.2961724,35.31325,33.49879
KLEPINI RESERVOIR (AGIOS EPIKTITOS),CY000KYR005,0.0897637,Inland,11,122.5439682,35.31506,33.44531
AGIOS EPIKTITOS RIVER RECHARGE BARRIER,CY000KYR006,0.0060351,Inland,12,1988.368047,35.3238,33.43227
AGIOS ERMOLAOS RESERVOIR,CY000KYR009,1.3597036,Inland,4,2.941817614,35.26335,33.17064
