Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Marais de Cavallo,FR831CAV002,0.012,Inland,22,1833.333333,41.367435,9.263885,,,,,
Mare d'Arasu 1,FR831COR117,0.007,Inland,18,2571.428571,41.646364,9.355565,,,,,
Mare d'Arasu 2,FR831COR118,0.002,Inland,10,5000,41.645244,9.358267,,,,,
Mare de Mura dell'Unda,FR831COR125,0.009,Inland,75,8333.333333,41.647767,9.336959,,,,,
Mare de Mura dell'Unda 3,FR831COR127,0.001,Inland,1,1000,41.646015,9.326313,,,,,
Mare de Mura dell'Unda 4,FR831COR128,0.003,Inland,1,333.3333333,41.638135,9.329177,,,,,
Etang de Mura dell'Unda,FR831COR129,0.002,Inland,3,1500,41.648705,9.330191,,,,,
Mare de Piobba,FR831COR130,0.009,Inland,6,666.6666667,41.636805,9.320375,,,,,
Mare de Sant'Antonaccio,FR831COR131,0.001,Inland,67,67000,41.646038,9.31564,,,,,
Mare de Trinité de Porto Vecchio,FR831COR133,0.004,Inland,51,12750,41.642222,9.294992,,,,,
Mare de Rinajolu,FR831COR134,0.005,Inland,5,1000,41.639135,9.26917,,,,,
Mare d'Alzu di Gallina,FR831COR142,0.001,Inland,88,88000,41.618072,9.224197,,,,,
Mare de Muratello,FR831COR143,0.006,Inland,97,16166.66667,41.589623,9.215971,,,,,
Mare de Muratello 2,FR831COR144,0.002,Inland,5,2500,41.583255,9.212716,,,,,
Mare de Balési,FR831COR145,0.009,Inland,13,1444.444444,41.580518,9.221041,,,,,
Etang de Guardienna,FR831COR146,0.031,Inland,5,161.2903226,41.579812,9.245162,,,,,
Mare de Guardienna,FR831COR147,0.002,Inland,8,4000,41.581319,9.243073,,,,,
Marais de Biaggiola,FR831COR148,0.027,Inland,9,333.3333333,41.575251,9.266916,,,,,
Mare de Pietralba,FR831COR149,0.001,Inland,40,40000,41.546285,9.250292,,,,,
Mare de Ceccia,FR831COR150,0.003,Inland,14,4666.666667,41.557986,9.229047,,,,,
Mare de Caccia 1,FR831COR153,0.003,Inland,71,23666.66667,41.560192,9.197878,,,,,
Mare de Caccia 2,FR831COR154,0.004,Inland,80,20000,41.555591,9.201743,,,,,
Mare de Caccia 3,FR831COR155,0.001,Inland,66,66000,41.551005,9.201006,,,,,
Mare de Padulellu,FR831COR166,0.002,Inland,33,16500,41.554735,9.294326,,,,,
