ln(wetland area (ha)),ln10(total plant species richness),Area (ha),Area (km2),Species richness,ID,SR normalised
-1.235071489,0.680689032,0.290813972,0.00290814,1.975238266,1,679.210237
-1.252733389,0.961183849,0.285722737,0.002857227,2.614790159,2,915.1494854
-1.252733389,0.985651192,0.285722737,0.002857227,2.679556222,3,937.8169371
-1.202270816,1.006132478,0.300511031,0.00300511,2.73500285,4,910.1172888
-1.1745164,0.985651192,0.308968361,0.003089684,2.679556222,5,867.2590994
-1.068544996,0.895449244,0.343507959,0.00343508,2.448435487,6,712.7740188
-0.821278385,0.78250532,0.439868973,0.00439869,2.186944403,7,497.1808738
-0.745584525,0.717422119,0.474456887,0.004744569,2.049143947,8,431.8925498
-0.717830109,0.715784561,0.487809602,0.004878096,2.045791101,9,419.3831143
-0.785954584,0.839948752,0.455684505,0.004556845,2.316248271,10,508.3008629
-0.599243061,0.752689575,0.54922721,0.005492272,2.122701511,11,386.4887739
-0.251051304,0.786089815,0.777982457,0.007779825,2.194797561,12,282.114017
-0.099663583,0.784295519,0.905141872,0.009051419,2.190862976,13,242.0463624
-0.026492851,0.889331486,0.973855006,0.00973855,2.433502277,14,249.8834285
0.036585366,0.939468262,1.037262847,0.010372628,2.558620541,15,246.6704122
-0.473086627,0.869239227,0.623076094,0.006230761,2.385095647,16,382.7936381
-1.081160639,1.420734346,0.339201606,0.003392016,4.140159634,17,1220.560149
-1.043313709,1.135675436,0.352285374,0.003522854,3.113275651,18,883.7368444
-1.005466779,1.135675436,0.365873813,0.003658738,3.113275651,19,850.9151361
-0.987804878,1.164584537,0.372393243,0.003723932,3.204591218,20,860.5395713
-0.980235492,1.10243394,0.375222726,0.003752227,3.011486889,21,802.5864845
-0.972666106,1.045987672,0.378073709,0.003780737,2.846208256,22,752.8183503
-0.917157275,0.985651192,0.399653533,0.003996535,2.679556222,23,670.4697948
-0.859125315,1.008434287,0.423532378,0.004235324,2.741305555,24,647.2481679
-0.803616484,0.965586833,0.447706908,0.004477069,2.626328421,25,586.6178015
