wetland_name,wetland_ID,dataset,area_km2,species_richness,species_normalized,lat,lon,sat_area_frac
Coongie Lakes,1,AUS,19800,751,0.037929,-27.3333,140,0.008789
Big Swamp,3,AUS,2,18,9,-34.65,135.7,0.569356
Lake Hamilton,4,AUS,20,22,1.1,-34.0333,135.3,0.551063
Lake Newland,5,AUS,84.48,35,0.414299,-33.4,134.8667,0.433404
Tod River Wetland ,6,AUS,212.4,639,3.008475,-34.45,135.8667,0.557917
Birchmore Lagoon,7,AUS,1.5,23,15.33333,-35.8,137.4833,0.081505
Flinders Chase River Systems,9,AUS,404.5,831,2.054388,-35.9497,136.7372,0.282014
Lake Ada,10,AUS,9.94,170,17.10262,-35.9333,137.3333,0.432845
Murray Lagoon,11,AUS,22,417,18.95455,-35.9167,137.4,0.564453
Tookayerta & Finniss Catchments,12,AUS,3,199,66.33333,-35.3833,138.7333,0.158506
Waidrowski Lagoon,13,AUS,5.3,83,15.66038,-35.8333,137.6167,0.530545
White Lagoon Wetland,14,AUS,7.5,13,1.733333,-35.8333,137.5167,0.061152
Banrock Swamp Wetland,15,AUS,12.2,104,8.52459,-34.1833,140.3333,0.281366
Gurra Lakes,16,AUS,6.6,59,8.939394,-34.2833,140.6333,0.324619
Irwin flat,17,AUS,0.5,11,22,-34.2333,139.65,0.034996
Loch Luna Wetland,18,AUS,19.5,21,1.076923,-34.2,140.3667,0.329237
Loveday Swamps,19,AUS,4.79,62,12.94363,-34.2833,140.4,0.183889
Lower Murray Swamps,20,AUS,1.55,153,98.70968,-35.1,139.3,0.251497
Marne River Mouth,21,AUS,0.4,13,32.5,-34.7,139.5667,0.49233
Noora Evaporation Lakes,22,AUS,5,18,3.6,-34.3833,140.8667,0.450811
Pike-Mundic Wetland,23,AUS,67,67,1,-34.2333,140.7833,0.321989
Riverland Wetland,24,AUS,0.3064,740,2415.144,-34.0333,140.8333,0.429651
Spectacle Lakes,25,AUS,4.27,100,23.4192,-34.3667,140.4333,0.075365
Swan Reach Wetland,26,AUS,2.5,69,27.6,-34.5333,139.6,0.370048
Butchers & Salt Lakes,27,AUS,0.4,15,37.5,-36.8833,139.8,
Deadmans Swamp,28,AUS,5.45,316,57.98165,-37.1667,140.85,0.119871
Ewens Ponds,29,AUS,0.005,31,6200,-38.0167,140.8167,0.112631
Honans Scrub,30,AUS,8.42,401,47.6247,-37.7333,140.6333,0.273143
Lake Frome & Mullins Swamp,31,AUS,32.16,106,3.29602,-37.5667,140.1833,0.207772
Marshes Swamp,32,AUS,6.65,372,55.93985,-37.6,140.5333,0.546122
Naen Naen Swamp & Gum Lagoon,33,AUS,3.35,26,7.761194,-36.2667,140.0333,0.301454
Piccaninnie Ponds,34,AUS,3,261,87,-38.05,140.95,0.383804
Poocher & Mundulla Swamps,35,AUS,3,65,21.66667,-36.35,140.6833,0.134977
South East Coastal Salt Lakes,36,AUS,1374.44,268,0.194989,-37.3333,139.9167,0.100959
"The Coorong, Lake Alexandrina & Lake Albert",37,AUS,1405,1115,0.793594,-35.6667,139.0833,
Watervalley Wetlands,38,AUS,56.6,174,3.074205,-36.4667,140.1833,0.56487
Inland Saline Lakes,39,AUS,8290,386,0.046562,-31,138,0.363026
Lake Eyre,40,AUS,9690,273,0.028173,-28.4667,138.6167,0.003971
Dalhousie Springs,41,AUS,190,60,0.315789,-26.1833,135.4,0.00682
Daly River Middle Reaches,43,AUS,16.5,19,1.151515,-13.7667,130.7,0.343155
Karinga Creek Palaeodrainage System,44,AUS,300,29,0.096667,-25.2167,132,0.013993
Lake Amadeus,45,AUS,1037,13,0.012536,-24.4667,130.4833,0.013156
Borroloola Bluebush Swamps,46,AUS,0.9,2,2.222222,-16.05,136.275,0.438731
Corella Lake,47,AUS,150,20,0.133333,-18.6306,135.5972,0.03988
Eva Downs Swamp,48,AUS,170,35,0.205882,-18.1,134.7667,0.047869
Lake de Burgh,49,AUS,350,37,0.105714,-18.9,135.55,0.602949
Lake Sylvester,50,AUS,410,66,0.160976,-18.8333,135.6667,0.038547
Lake Woods,51,AUS,50.9,97,1.905697,-17.5833,133.4167,0.098506
Tarrabool Lake,52,AUS,2200,46,0.020909,-18.4167,134.9167,0.049187
Birrindudu Waterhole,53,AUS,190,30,0.157895,-18.4639,129.6,0.041803
Nongra Lake,54,AUS,60,26,0.433333,-18.1972,129.75,0.042304
Kakadu National Park,55,AUS,13759.4,1409,0.102403,-12.5,132.5,0.251251
Katherine River Gorge,56,AUS,1.5,8,5.333333,-14.3167,132.45,0.276039
Lake Surprise (Yinapaka),57,AUS,8,53,6.625,-20.2,131.75,0.018581
Adelaide River Floodplain System,58,AUS,1348,706,0.523739,-12.1667,131.1667,
Arafura Swamp,59,AUS,714,743,1.040616,-12.3833,134.7167,0.266082
Blyth—Cadell Floodplain and Boucaut Bay System,60,AUS,355,101,0.284507,-12,134.3333,0.248294
Cobourg Peninsula System,61,AUS,840,508,0.604762,-11.1167,131.75,
Daly—Reynolds Floodplain—Estuary System,62,AUS,1593,333,0.20904,-13.1,130.1167,
Finniss Floodplain and Fog Bay System,63,AUS,813,414,0.509225,-12.7333,130.15,
Mary Floodplain System,64,AUS,1276,518,0.405956,-12.2,131.5167,
Moyle Floodplain and Hyland Bay System,65,AUS,481,154,0.320166,-13.8833,129.5833,
Murgenella-Cooper Floodplain System,66,AUS,815,238,0.292025,-11.6,132.5667,
Legune Wetlands,67,AUS,90,26,0.288889,-15.2639,129.3806,0.098837
Mount Bundey Training Area —Mary River Floodplain,68,AUS,1050,4,0.00381,-13.2,131.1833,0.243054
Blue Lake (Kosciuszko),69,AUS,0.14,118,842.8571,-36.4,148.3167,0.398709
"Kosciusko Alpine Fens, Bogs and Lakes",70,AUS,0.3,2,6.666667,-36.2667,148.1667,0.285208
Bulloo Overflow/Carypundy Swamp,71,AUS,1785.6,39,0.021841,-29,142.2833,0.010262
Salisbury Lake (Lake Altibouka),72,AUS,5.65,3,0.530973,-29.8167,142.75,0.008832
Gwydir Wetlands,73,AUS,1021.2,349,0.341755,-29.1,149.2667,0.361695
Macquarie Marshes,74,AUS,2000,680,0.34,-30.5,147.4667,0.297439
Menindee Lakes,75,AUS,450,219,0.486667,-32.1667,142.1667,0.009371
Narran Lakes,76,AUS,300,324,1.08,-29.6833,147.2833,0.228406
Paroo River Distributary Channels,77,AUS,7200,239,0.033194,-29.5,143.4667,0.008197
Yantabulla Swamp (Cuttaburra Basin),78,AUS,372,261,0.701613,-29.25,144.85,0.049691
Darling Anabranch Lakes,79,AUS,2690,106,0.039405,-33.0333,141.5833,0.07682
Lowbidgee Floodplain,80,AUS,2000,76,0.038,-34.4,143.6333,0.039036
Little Llangothlin Lagoon,81,AUS,2.58,7,2.713178,-30.0833,151.7833,0.161773
New England Wetlands,82,AUS,0.3,63,210,-30.0333,151.4667,0.662108
Round Mountain Swamps,83,AUS,3,79,26.33333,-30.4333,152.25,0.466234
Barrington Tops Swamps,84,AUS,15,9,0.6,-32,151.3667,0.115938
Upper Coldstream,85,AUS,19.95,211,10.57644,-29.65,153.0667,0.384636
Lake Cowal/Wilbertroy Wetlands,86,AUS,205,217,1.058537,-33.4667,147.35,0.56278
Tomneys Plain,87,AUS,0.9,10,11.11111,-35.7333,148.25,0.291541
Black Swamp and Coopers Swamp,88,AUS,3.5,47,13.42857,-35.05,145.75,0.119319
Great Cumbung Swam,89,AUS,160,158,0.9875,-34.2167,143.9167,0.117053
Koondrook and Perricoota Forests,90,AUS,311.5,435,1.396469,-35.5333,144.1333,0.276923
Lachlan Swamp,91,AUS,66,270,4.090909,-34.0333,144.4167,0.041636
Lake Brewster,92,AUS,61.4,91,1.482085,-33.4667,145.9667,0.195678
Lake Merrimajeel/Murrumbidgil Swamp,93,AUS,3,130,43.33333,-33.8167,144.85,0.033619
Merrowie Creek (Cuba Dam to Chillichil Swamp),94,AUS,25,119,4.76,-34.1667,143.9,0.216699
Millewa Forest,95,AUS,336.36,766,2.277322,-35.5833,144.8833,0.293321
Werai Forest,96,AUS,112.34,310,2.75948,-35.25,144.35,0.245288
The Salt Lake,97,AUS,58.16,26,0.447043,-30.0333,142.0833,0.01197
