Name Wetland,ID,Region,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
Cairngorm Lochs,216,Scotland,1.725969194,"Inland wetlands, O: Permanent freshwater lakes",139,80.53446174,57.0832,-3.70762
Caithness and Sutherland Peatlands,971,Scotland,1431.946186,"Inland wetlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",1255,0.876429584,58.35604,-4.02348
Caithness Lochs,928,Scotland,13.75157021,"Inland wetlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, Xf: Freshwater, tree-dominated wetlands",147,10.68968836,58.52233,-3.44146
Cameron Reservoir,650,Scotland,0.686327376,"Inland wetlands, W: Shrub-dominated wetlands, O: Permanent freshwater lakes, Human-made wetlands, 6: Water storage areas/Reservoirs",215,313.2615827,56.29049,-2.85501
"Castle Loch, Lochmaben",796,Scotland,1.074082134,"Inland wetlands, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools",364,338.8940086,55.11929,-3.43091
Claish Moss,218,Scotland,5.664672261,"Inland wetlands, U: Permanent Non-forested peatlands",61,10.7684959,56.74361,-5.73076
Coll,723,Scotland,22.00197748,"Inland wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands, Marine or coastal wetlands, E: Sand, shingle or pebble shores, D: Rocky marine shores",443,20.13455384,56.65506,-6.50033
Din Moss - Hoselaw Loch,405,Scotland,0.505044898,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",167,330.6636711,55.57674,-2.3103
"Eilean na Muice Duibhe (Duich Moss), Islay",402,Scotland,5.74427093,"Inland wetlands, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks, Tp: Permanent freshwater marshes/ pools",284,49.44056495,55.72206,-6.25595
Fala Flow,465,Scotland,3.17469533,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",137,43.15374729,55.81715,-2.90796
Firth of Tay and Eden Estuary,1034,Scotland,69.04932429,"Inland wetlands, Sp: Permanent saline/ brackish/ alkaline marshes/ pools, M: Permanent rivers/ streams/ creeks, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, E: Sand, shingle or pebble shores, F: Estuarine waters",760,11.00662473,56.41185,-3.00086
Gladhouse Reservoir,404,Scotland,1.860654613,"Inland wetlands, U: Permanent Non-forested peatlands, Human-made wetlands, 6: Water storage areas/Reservoirs",144,77.39211726,55.77053,-3.11898
Greenlaw Moor,795,Scotland,2.471678797,"Inland wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",223,90.22207913,55.73427,-2.45354
"Gruinart Flats, Islay",401,Scotland,32.49201048,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, Marine or coastal wetlands, E: Sand, shingle or pebble shores, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, Human-made wetlands, 4: Seasonally flooded agricultural land",746,22.95949032,55.84789,-6.32537
Kintyre Goose Roosts,966,Scotland,3.112711655,"Inland wetlands, O: Permanent freshwater lakes, Human-made wetlands, 6: Water storage areas/Reservoirs",54,17.34821789,55.56781,-5.60621
Lewis Peatlands,1046,Scotland,587.5089474,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",934,1.589763023,58.26852,-6.50304
Loch an Duin,468,Scotland,26.0959953,"Inland wetlands, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools, Q: Permanent saline/ brackish/ alkaline lakes, O: Permanent freshwater lakes, Marine or coastal wetlands, E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats, H: Intertidal marshes, J: Coastal brackish / saline lagoons, D: Rocky marine shores",470,18.0104263,57.64971,-7.14532
Loch Eye,340,Scotland,2.046324214,"Inland wetlands, O: Permanent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, U: Permanent Non-forested peatlands",158,77.21161627,57.79221,-3.9666
Loch Ken and River Dee Marshes,568,Scotland,7.676015064,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Xf: Freshwater, tree-dominated wetlands, W: Shrub-dominated wetlands, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, Human-made wetlands, 4: Seasonally flooded agricultural land",370,48.20209405,54.99841,-4.03349
Loch Leven,72,Scotland,16.08602022,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes",588,36.55347886,56.19797,-3.37438
Loch Lomond,73,Scotland,2.363331028,"Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks",581,245.83945,56.06588,-4.52696
Loch Maree,700,Scotland,31.63597801,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",611,19.31345381,57.68588,-5.47222
Loch of Kinnordy,652,Scotland,0.849191008,"Inland wetlands, Xf: Freshwater, tree-dominated wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools",207,243.7614128,56.67538,-3.04573
Loch of Lintrathen,217,Scotland,2.163679139,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, W: Shrub-dominated wetlands, Human-made wetlands, 6: Water storage areas/Reservoirs",188,86.88903849,56.68042,-3.18055
Loch of Skene,339,Scotland,1.206530587,"Inland wetlands, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools, Xf: Freshwater, tree-dominated wetlands",57,47.24289679,57.1579,-2.35749
Loch Ruthven,855,Scotland,2.006393942,"Inland wetlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes",242,120.6143993,57.31995,-4.29784
Loch Spynie,569,Scotland,0.934100047,"Inland wetlands, U: Permanent Non-forested peatlands, Xf: Freshwater, tree-dominated wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Human-made wetlands, 9: Canals and drainage channels or ditches",300,321.1647413,57.68106,-3.28474
Muir of Dinnet,1003,Scotland,1.572758312,"Inland wetlands, U: Permanent Non-forested peatlands, Xf: Freshwater, tree-dominated wetlands, O: Permanent freshwater lakes",230,146.2398884,57.08668,-2.9243
North Uist Machair and Islands,1004,Scotland,46.83306425,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Marine or coastal wetlands, D: Rocky marine shores, E: Sand, shingle or pebble shores, H: Intertidal marshes",811,17.31682547,57.63947,-7.33557
Rannoch Moor,78,Scotland,15.15592759,"Inland wetlands, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools",332,21.90562062,56.65589,-4.59545
River Spey - Insh Marshes,889,Scotland,11.56043913,"Inland wetlands, L: Permanent inland deltas, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands, Xp: Permanent Forested peatlands, O: Permanent freshwater lakes, M: Permanent rivers/ streams/ creeks, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Human-made wetlands, 4: Seasonally flooded agricultural land, 9: Canals and drainage channels or ditches",678,58.64829118,57.0955,-3.98316
Ronas Hill - North Roe and Tingon,916,Scotland,54.55242906,"Inland wetlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, Marine or coastal wetlands, D: Rocky marine shores",654,11.98846708,60.54922,-1.4277
Silver Flowe,219,Scotland,6.182094395,"Inland wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks",106,17.1462927,55.11763,-4.40411
Sléibhtean agus Cladach Thiriodh (Tiree Wetlands and Coast),1158,Scotland,19.30719833,"Inland wetlands, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, E: Sand, shingle or pebble shores, D: Rocky marine shores",572,29.62625599,56.51001,-6.85788
South Tayside Goose Roosts,601,Scotland,3.30303986,"Inland wetlands, W: Shrub-dominated wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",335,101.4217249,56.29477,-3.79393
Westwater,780,Scotland,0.496752174,"Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",88,177.1507094,55.75736,-3.40995
Ythan Estuary and Meikle Loch,939,Scotland,3.135287911,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, Marine or coastal wetlands, F: Estuarine waters, H: Intertidal marshes, E: Sand, shingle or pebble shores",373,118.9683406,57.33769,-1.9951
Cors Caron,570,Wales,8.74,"Inland wetlands, Xp: Permanent Forested peatlands, Xf: Freshwater, tree-dominated wetlands, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks",293,33.52402746,52.25617,-3.92151
